,Open,High,Low,Close,Volume,Dividends,Stock Splits,compound
2021-06-18,204.4566650390625,209.4499969482422,203.93333435058597,207.7700042724609,73682700,0.0,0.0,0.5354642679900735
2021-06-21,208.16000366210935,210.4633331298828,202.9600067138672,206.94332885742188,74438100,0.0,0.0,0.5379911512844906
2021-06-22,206.0833282470703,209.52333068847656,205.1666717529297,207.90333557128903,57476700,0.0,0.0,0.525457894736842
2021-06-23,210.6666717529297,219.0666656494141,210.01333618164065,218.85667419433597,93297600,0.0,0.0,0.4828349185946863
2021-06-24,224.9966735839844,232.5399932861328,222.5366668701172,226.60667419433597,137947200,0.0,0.0,0.5012289757805641
2021-06-25,229.8600006103516,231.2700042724609,222.8999938964844,223.9566650390625,97490100,0.0,0.0,0.5984025187202172
2021-06-28,223.8800048828125,231.5666656494141,223.44000244140625,229.5733337402344,64884600,0.0,0.0,0.533256078706956
2021-06-29,228.21665954589844,229.1699981689453,225.29666137695312,226.9199981689453,52143900,0.0,0.0,0.5681822199383341
2021-06-30,226.58999633789065,230.9366607666016,226.04666137695312,226.5666656494141,56774700,0.0,0.0,0.5445908014571942
2021-07-01,227.97332763671875,229.3300018310547,224.26666259765625,225.97332763671875,55903500,0.0,0.0,0.639099705014749
2021-07-02,226.32666015625,233.3333282470703,224.4199981689453,226.3000030517578,81163500,0.0,0.0,0.4863642201834863
2021-07-06,227.23666381835935,228.0,217.13333129882807,219.8600006103516,69853500,0.0,0.0,0.4926302231237314
2021-07-07,221.42333984375,221.8999938964844,212.77333068847656,214.88333129882807,56376000,0.0,0.0,0.5396586243386227
2021-07-08,209.4566650390625,218.1433258056641,206.82000732421875,217.60333251953125,68319900,0.0,0.0,0.5467280762564982
2021-07-09,217.72666931152344,219.6366729736328,214.89666748046875,218.98333740234372,54421500,0.0,0.0,0.5753610864745007
2021-07-12,220.73333740234372,229.0800018310547,220.72000122070312,228.5666656494141,77781000,0.0,0.0,0.5538800330032992
2021-07-13,228.77333068847656,231.0933380126953,222.1000061035156,222.8466644287109,62898300,0.0,0.0,0.6061525162337662
2021-07-14,223.5833282470703,226.20333862304688,217.6133270263672,217.7933349609375,64923600,0.0,0.0,0.5597543499511243
2021-07-15,219.4633331298828,222.04666137695312,212.6266632080078,216.86666870117188,60628800,0.0,0.0,0.5873503012048188
2021-07-16,218.22666931152344,218.8999938964844,214.0666656494141,214.7400054931641,49113000,0.0,0.0,0.6333627937336812
2021-07-19,209.9633331298828,215.73333740234372,207.0966644287109,215.4066619873047,63891300,0.0,0.0,0.5590404232804231
2021-07-20,217.3300018310547,220.79666137695312,213.5,220.1666717529297,46461300,0.0,0.0,0.5646872413793104
2021-07-21,219.8699951171875,221.6199951171875,216.76333618164065,218.42999267578125,41859900,0.0,0.0,0.5728051312649165
2021-07-22,218.81333923339844,220.72332763671875,214.86666870117188,216.4199981689453,45317100,0.0,0.0,0.575045168295331
2021-07-23,215.45333862304688,216.26666259765625,212.43333435058597,214.4600067138672,43814700,0.0,0.0,0.6062090909090906
2021-07-26,216.9900054931641,222.73333740234372,215.70333862304688,219.2066650390625,76009800,0.0,0.0,0.5168406415227339
2021-07-27,221.13333129882807,222.1666717529297,209.0800018310547,214.9266662597656,98439900,0.0,0.0,0.5794566826923063
2021-07-28,215.6666717529297,218.3233337402344,213.13333129882807,215.66000366210935,48019800,0.0,0.0,0.5676201995012461
2021-07-29,216.5966644287109,227.89666748046875,216.26666259765625,225.7833404541016,91183800,0.0,0.0,0.5405240000000003
2021-07-30,223.9199981689453,232.50999450683597,223.0,229.0666656494141,88969200,0.0,0.0,0.5120876598465466
2021-08-02,233.3333282470703,242.31333923339844,232.8000030517578,236.55667114257807,100847400,0.0,0.0,0.5099676600441497
2021-08-03,239.6666717529297,240.88333129882807,233.6699981689453,236.5800018310547,64860900,0.0,0.0,0.4766553618134252
2021-08-04,237.0,241.63333129882807,236.30999755859372,236.97332763671875,51007800,0.0,0.0,0.4930085341365451
2021-08-05,238.6666717529297,240.3166656494141,237.1366729736328,238.2100067138672,38758800,0.0,0.0,0.5516881993896228
2021-08-06,237.3000030517578,238.77667236328125,232.5433349609375,233.0333404541016,46869000,0.0,0.0,0.5122659770114939
2021-08-09,236.72332763671875,239.6766662597656,235.0433349609375,237.9199981689453,44145900,0.0,0.0,0.5026712383488682
